"Provider","Area","Function","Mode","Baseline","Latest","Model","CLI version","Revision","Build","Observed date","Case","Acceptance","Evidence","Source"
"antigravity","Delivery","Long pasted prompt","interactive-cli","Blocked","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/long-input","One submission preserves independent beginning, middle, and end labels in the native answer","{""input_characters"":6886,""native_answer_count"":1,""complete_source_labels"":3}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Delivery","Long pasted prompt","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/long-input","One submission preserves independent beginning, middle, and end labels in the native answer","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Delivery","Long pasted prompt","interactive","Design skip","Design skip","","","","","","","One submission preserves independent beginning, middle, and end labels in the native answer","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Delivery","Completion and idle status","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/assistant-authorship","Provider completion and Wardian idle agree","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Delivery","Completion and idle status","interactive","Blocked","Blocked","gpt-5.4-mini","codex-cli 0.153.4","9c7f093aafda1da15e1864934bf9844877784b38","SHA256 954c5b505277c57d9bcacba75e60d7d9314b6c377cbc921da4d5afc229778604","2026-09-07T15:57:33.994Z","chat/assistant-authorship","Provider completion and Wardian idle agree","Scratch answer prerequisite failed inside the provider Windows sandbox after confirmed model choice and delivery. This does not establish a Wardian short-input, readiness, or completion defect.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Delivery","Completion and idle status","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/assistant-authorship","Provider completion and Wardian idle agree","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Delivery","Completion and idle status","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/assistant-authorship","Provider completion and Wardian idle agree","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Delivery","Completion and idle status","interactive-cli","Pass","Fail","lmstudio/gemma-4-31b-unslop-good-lora-v1-i1","0.84.2","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:29:22.244Z","chat/assistant-authorship","Provider completion and Wardian idle agree","{""reason"":""Native assertion did not pass; inspect the retained private report.""}","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Delivery","Completion and idle status","interactive","Design skip","Design skip","","","","","","","Provider completion and Wardian idle agree","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Delivery","Delivery acknowledgement","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/delivery-receipt","Wardian acknowledges one submitted turn without a false failure or replay","{""submissions"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Delivery","Delivery acknowledgement","interactive","Fail","Fail","gpt-5.4-mini","codex-cli 0.153.4","integration-tree-1fc9ba689854fcb90b68243a19eeb21e56641a69","SHA256 89bfdc0313802f9cac1a2264179a0ffff69f4e0c32649e7c23523095338471f1","2026-09-07T10:43:42.288Z","chat/submission","Wardian acknowledges one submitted turn without a false failure or replay","Payload entered the provider model migration menu. It changed selection and left a truncated draft; broker correctly withheld Return after payload confirmation failed. No accepted turn or low-cost model execution claim.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Delivery","Delivery acknowledgement","interactive-cli","Fail","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/delivery-receipt","Wardian acknowledges one submitted turn without a false failure or replay","{""submissions"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Delivery","Delivery acknowledgement","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/delivery-receipt","Wardian acknowledges one submitted turn without a false failure or replay","{""submissions"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Delivery","Delivery acknowledgement","interactive-cli","Pass","Fail","lmstudio/gemma-4-31b-unslop-good-lora-v1-i1","0.84.2","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:29:22.244Z","chat/delivery-receipt","Wardian acknowledges one submitted turn without a false failure or replay","{""reason"":""Native assertion did not pass; inspect the retained private report.""}","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Delivery","Delivery acknowledgement","interactive","Design skip","Design skip","","","","","","","Wardian acknowledges one submitted turn without a false failure or replay","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Provider session identity","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/pause-resume-continuity","Verified provider session stored on correct Wardian agent","{""wardian_identity_unchanged"":true,""provider_identity_unchanged"":true,""remembered_file_only_answer"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Chat","Provider session identity","interactive","Pass","Blocked","gpt-5.4-mini","codex-cli 0.153.4","dd8894da84b75a7cc970aacb289a8d8fa4544f40","SHA256 42b6a45779dbfe4db0696cec1a966ca8c57ec26b4c704c0b10a14914797296a0","2026-09-07T17:21:51.030Z","chat/pause-resume-continuity","Verified provider session stored on correct Wardian agent","The provider reopened its model migration menu after resume. The harness omitted the explicit keep-configured-model prerequisite on restart. No follow-up turn was accepted; corrected current-harness run proves pause/resume separately.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Chat","Provider session identity","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/pause-resume-continuity","Verified provider session stored on correct Wardian agent","{""wardian_identity_unchanged"":true,""provider_identity_unchanged"":true,""remembered_file_only_answer"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Provider session identity","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/pause-resume-continuity","Verified provider session stored on correct Wardian agent","{""wardian_identity_unchanged"":true,""provider_identity_unchanged"":true,""remembered_file_only_answer"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Provider session identity","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/pause-resume-continuity","Verified provider session stored on correct Wardian agent","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Provider session identity","interactive","Design skip","Design skip","","","","","","","Verified provider session stored on correct Wardian agent","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Current chat-log link","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/current-log-link","Link targets current provider log and updates after session change","{""exists"":true,""matches_native_answer_source"":true,""filesystem_aliases_resolved"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Chat","Current chat-log link","interactive","Blocked","Blocked","gpt-5.4-mini","codex-cli 0.153.4","dd8894da84b75a7cc970aacb289a8d8fa4544f40","SHA256 42b6a45779dbfe4db0696cec1a966ca8c57ec26b4c704c0b10a14914797296a0","2026-09-07T17:31:22.006Z","chat/fresh-session-log-link","Link targets current provider log and updates after session change","Fresh-session prerequisite failed because startup restoration overwrote the configuration update (#1202); no independent fresh-link failure is established.","https://github.com/wardian-app/Wardian/issues/1202"
"opencode","Chat","Current chat-log link","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/current-log-link","Link targets current provider log and updates after session change","{""exists"":true,""session_bound_chat_db"":true,""diagnostic_contains_current_session"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Current chat-log link","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/current-log-link","Link targets current provider log and updates after session change","{""exists"":true,""matches_native_answer_source"":true,""filesystem_aliases_resolved"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Current chat-log link","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/current-log-link","Link targets current provider log and updates after session change","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Current chat-log link","interactive","Design skip","Design skip","","","","","","","Link targets current provider log and updates after session change","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Live transcript refresh","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/live-transcript-refresh","New provider-authored response appears without restart","{""surface"":""mounted assistant message row, no reload""}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Chat","Live transcript refresh","interactive","Pass","Untested","gpt-5.4-mini","codex-cli 0.153.4","e26a38369efc80ae42b5f234d02c29e046d70b7c","SHA256 fb4d590c87e0a08ecf6af077144cd3e2cbcca1fcd7e7e05eaa6a0e38cbe9c8f2","2026-09-07T19:35:50.478Z","chat/live-transcript-refresh","New provider-authored response appears without restart","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Chat","Live transcript refresh","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/live-transcript-refresh","New provider-authored response appears without restart","{""surface"":""mounted assistant message row, no reload""}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Live transcript refresh","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/live-transcript-refresh","New provider-authored response appears without restart","{""surface"":""mounted assistant message row, no reload""}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Live transcript refresh","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/live-transcript-refresh","New provider-authored response appears without restart","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Live transcript refresh","interactive","Design skip","Design skip","","","","","","","New provider-authored response appears without restart","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Genuine user prompts","interactive-cli","Fail","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/user-prompt-provenance","Real human requests retain native provenance; tool results do not become user prompts","{""native_human_requests"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Chat","Genuine user prompts","interactive","Pass","Fail","gpt-5.4-mini","codex-cli 0.153.4","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:34:42.246Z","chat/user-prompt-provenance","Real human requests retain native provenance; tool results do not become user prompts","The native user prompt contains late terminal color-response bytes after the intended prompt. Archive reconciliation preserves this different native prompt beside the clean Wardian submission. Actual input corruption is tracked in #1211.","https://github.com/wardian-app/Wardian/issues/1211"
"opencode","Chat","Genuine user prompts","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/user-prompt-provenance","Real human requests retain native provenance; tool results do not become user prompts","{""native_human_requests"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Genuine user prompts","interactive-cli","Fail","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/user-prompt-provenance","Real human requests retain native provenance; tool results do not become user prompts","{""native_human_requests"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Genuine user prompts","interactive","Fail","Fail","openai-codex/gpt-5.4-mini","","integration-tree-1fc9ba689854fcb90b68243a19eeb21e56641a69","SHA256 89bfdc0313802f9cac1a2264179a0ffff69f4e0c32649e7c23523095338471f1","2026-09-07T10:47:16.771Z","chat/user-prompt-provenance","Real human requests retain native provenance; tool results do not become user prompts","First real human prompt lost native provenance during delivered-input/archive reconciliation; exact native-human-request assertion failed. Shared issue #1175; source adapter alone is insufficient.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Genuine user prompts","interactive","Design skip","Design skip","","","","","","","Real human requests retain native provenance; tool results do not become user prompts","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Injected context roles","interactive","Untested","Untested","haiku","2.1.266 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:19:45.043Z","context/context_provenance","Observed provider context retains non-user roles and non-request archive provenance","Historical pass on harness dc6c7cb2106fa1c79d4fb6538bbdf189838f99a7ed158f42ffaf415c3f901d13; current submitted harness ef48dffeb081f2fb7b74aee319c8575399d3dbf141b13fb0012a683528caa880 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
